Reference,Whisper_Transcription,Gemini_Transcription
PHỤC VỤ CHO MÙA THI ĐẠI HỌC ĐANG ĐẾN SÁT SẠT, Phục vụ cho mùa thi đại học đang đến sát sạt.,Phục vụ cho mùa thi đại học đang đến sát sạt.
TRẬN CHIẾN XÍCH BÍCH, Trận chiến xích bích.,"Trận chiến Xích Bích.
"
HAI MƯƠI TÁM HAI MƯƠI CHÍN, 28 29,"28, 29.
"
VÀO CƠ QUAN LÀ ANH HÓT GIỐNG HỆT NHỒNG MỚI LỘT LƯỠI VẬY, Vào cơ quan là anh hót giống hệt nhồng với lột lưỡi vậy.,Vào cơ quan là anh hot giống hệt nhồng với lột lưỡi vậy.
THÌ BỖNG NGHE THẤY TIẾNG OÁC OÁC TỪ VẠT RỪNG PHI LAO, Thì bỗng nghe tiếng oát oát từ vạt rừng phi lao.,thì bỗng nghe tiếng oác oác từ vạt rừng phi lao.
BẢY MƯƠI TÁM BẢY MƯƠI CHÍN, 78 79,78 79
CÓ HAI TÁC DỤNG TÍCH CỰC, có hai tác dụng tích cực.,"Hai tác động tích cực.
"
NƠI CÓ MẤY TÊN TRÔNG RẤT GẤU, Nơi có mấy tên trông rất gấu,Hai tên.
ĐÃ CÓ DỰ ÁN ĐỂ XÂY DỰNG MỘT CÁI CẦU TỪ ĐẤT LIỀN, đã có dự án để xây dựng một cái cầu từ đất liền.,Đã có dự án để xây dựng một cái cầu từ đất liền.
CHỦ TÀU CHO BIẾT SẼ TIẾP TỤC THƯƠNG THUYẾT VỀ SỐ CHI PHÍ NÀY, Chủ tàu cho biết sẽ tiếp tục thương thuyết về số chi phí này.,Chủ tàu cho biết sẽ tiếp tục thương thuyết về số chi phí này.
HOẶC CHO VÀO VẠI MUỐI ĐỂ LỢN ĂN DẦN, hoặc cho vào vải muối để lợn ăn dần,"Hoặc cho vào vải muối để lợn ăn dần.
"
THAM GIA GIẢNG DẠY LÀ LỰC LƯỢNG ĐOÀN VIÊN, Tham gia giảng dạy là lực lượng đoàn viên.,Tham gia giảng dạy là lực lượng đoàn viên.
CHÍU CHÍT GỢI TÌNH MẸ CON SUM HỌP, Chiếu chích gọi tình mẹ con xung hợp,"chiếu chít gợi tình mẹ con sum họp.
"
SÁU MƯƠI TÁM SÁU MƯƠI CHÍN, 68 69,68 69
MÀ CHO ĐẾN LÚC ĐÓ ĐƯỢC XEM LÀ CỦA TƯ NHÂN, Mà cho đến lúc đó được xem là của tư nhân,mà cho đến lúc đó được xem là của tư nhân.
ÁNG CHỪNG ĐÃ NGOẠI BẢY MƯƠI, Án chừng đã ngoại 70.,"Án chừng đã ngoài 70.
"
NHỮNG NGƯỜI HOÀI NGHI NÓI RẰNG GIỮ ĐƯỢC VẬT TREO LỦNG LẲNG TRÊN NGƯỜI, Những người hoài nghi nói rằng giữ được vật treo lũng lẳng trên người.,những người hoài nghi nói rằng giữ được vật treo lủng lẳng trên người.
RÔ BÓT THÔNG MINH, Robot thông minh,"Robot thông minh.
"
NÓNG GIẬN TÔI ĐÃ LĂNG MẠ ANH, Nóng giận tôi đã lăn mạ anh.,"Nóng giận tôi đã lăng mạ anh.
"
NHIỀU NGƯỜI CHO BIẾT, Nhiều người cho biết.,"nhiều người cho biết,"
BUỔI SÁNG THÀNH PHỐ Ô NHIỄM HƠN BUỔI TRƯA, Buổi sáng thành phố ô nhiễm hơn buổi trưa.,"Buổi sáng thành phố ô nhiễm hơn buổi trưa.
"
HỌ CŨNG LUÔN TRÁNH XA NHỮNG TÌNH HUỐNG CÓ THỂ GÂY HẠI CHO HỌ, Họ cũng luôn tránh xa những tình huống có thể gây hại cho họ,Họ cũng luôn tránh xa những tình huống có thể gây hại cho họ.
VÀ KHI THẤY TÔI VẪN KIÊN ĐỊNH TRẢ LỜI TRỚT QUỚT, Và khi thấy tôi vẫn kiên định trả lời trước quốc,"Và khi thấy tôi vẫn kiên định trả lời trớt quớt.
"
TRONG CUỘC SỐNG CỦA TÔI CHÚNG KHÔNG DÙNG ĐỂ KIẾM RA LỢI NHUẬN, Trong cuộc sống của tôi chúng không dùng để kiếm ra lợi nhuận,Trong cuộc sống của tôi chúng không dùng để kiếm ra lợi nhuận.
ĐÓ HẲN LÀ MỘT MÓN QUÀ, Đó hẳn là một món quà.,Đó hẳn là một món quà.
HAI MƯƠI BỐN HAI MƯƠI LĂM," 24, 25.","24, 25."
NGUYÊN THỨ TRƯỞNG BỘ ĐẠI HỌC VÀ GIÁO DỤC CHUYÊN NGHIỆP CŨ, Nguyên Thứ trưởng Bộ Đại học và Giáo dục chuyên nghiệp cũ,"Nguyên Thứ trưởng Bộ Đại học và Giáo dục chuyên nghiệp cũ.
"
GIÓ TRỜI KHÔNG THỂ THÔNG THỐC THỔI VÀO KHAI TRUNG, Gió trời không thể thông thốc thổi vào khai trung,"Gió trời không thể thông thốc thổi vào khai trung.
"
NHIỀU TRỤ ĐÁ DI TÍCH NẰM NGHIÊNG NGẢ VÀ VỠ NÁT, Nhiều trụ đá di tích nằm nghiêng ngã và vỡ nát.,nhiều trụ đá di tích nằm nghiêng ngả và vỡ nát
NĂM MƯƠI HAI NĂM MƯƠI BA, 52 53,"52, 53.
"
CHO NHỮNG CHUYẾN DÃ NGOẠI CỦA DU KHÁCH, Cho những chiến dở ngoại của du khách,Cho những chuyến dã ngoại của du khách.
CỨ CHỤM CÁC ĐẦU NGÓN TAY LẠI MỘT CHỖ, Cứ chụm các đầu ngón tay lại một chỗ,"Cứ chụm các đầu ngón tay lại một chỗ.
"
HẰNG NĂM CHÚNG TA THẢI RA HÀNG TỈ THIẾT BỊ ĐIỆN TỬ, Hằng năm chúng ta thể ra hàng tỷ thiết bị điện tử.,Hằng năm chúng ta thải ra hàng tỷ thiết bị điện tử.
NHỮNG NHƯỢC ĐIỂM CỦA MÌNH, Những nhược điểm của mình,Những nhược điểm của mình.
KHI TRẪM KHỎI BỆNH THÌ SẼ CHÉM ĐẦU, Khi chậm khỏi bệnh thì sẽ chém đầu,"Khi chậm khỏi bệnh thì sẽ chém đầu.
"
TRỪ KHI BẠN BIẾT TÔN TRỌNG BẢN THÂN MÌNH, Trừ khi bạn biết tôn trọng bản thân mình,"Trừ khi bạn biết tôn trọng bản thân mình,"
BỞI CƠ QUAN CHUYÊN MÔN HOẶC THUÊ TỔ CHỨC KIỂM TOÁN ĐỘC LẬP," Bởi cơ quan chuyên môn hoặc thuê tổ chức kiểm toán độc lập,",bởi cơ quan chuyên môn hoặc thuê tổ chức kiểm toán độc lập.
NÃO BỘ CHÚNG TA PHÁT TRIỂN NHỮNG RUNG ĐỘNG YÊU THƯƠNG, Nở bộ chúng ta phát triển những gung động yêu hương,não bộ chúng ta phát triển những rung động yêu thương.
NHỮNG CON ĐƯỜNG NGẮN NGỦN NHƯ NHỮNG NHÁT CẮT, Những con đường ngắn ngũng như những nhát cắt,Những con đường ngắn ngủn như những nhát cắt.
NHỮNG CƠN GIÓ MẠNH VÀ MƯA ĐÓNG BĂNG GÂY TRƠN TRỢT, Những cơn gió mạnh và mưa đóng băng gây trơn trợt,Những cơn gió mạnh và mưa đóng băng gây trơn trượt.
GIÁM ĐỐC SỞ GIÁO DỤC ĐÀO TẠO NINH THUẬN CHO BIẾT, Giám đốc Sở Giáo dục Đào tạo Ninh Huận cho biết.,"Giám đốc Sở Giáo dục Đào tạo Ninh Thuận cho biết,"
VÀ RẤT SÁNG TẠO, Và rất sáng tạo,và rất sáng tạo.
NGỌN LỬA BẠO ĐỘNG Ở TRUNG ĐÔNG VÀ PHÁ VỠ LỘ TRÌNH HÒA BÌNH, Ngọn lửa bỏ động ở Trung Đông và phá vỡ lội trình hòa bình,Ngọn lửa bạo động ở Trung Đông và phá vỡ lộ trình hòa bình.
NHƯNG TÔI THÍCH XEM BỘ PHIM TRUYỆN PHÁT NGAY SAU CHƯƠNG TRÌNH NÀY, Nhưng tôi thích xem bộ phim chuyển phát ngay sau chương trình này,Nhưng tôi thích xem bộ phim truyện phát ngay sau chương trình này.
THẬT SỰ MÀ LÀ BỞI LÒNG HẬN THÙ, Thật sự mà là bởi lòng hận hù.,Thật sự mà là bởi lòng hận thù.
XIN ĐƯỢC CHÂN KHUÂN VÁC, Xin được chân khuân vác,"Xin được chân khuynh thác.
"
CŨNG CHƯA BIẾT NỮA, Cũng chưa biết nữa.,"Cũng chưa biết nữa.
"
CŨNG LÊN TIẾNG ỦNG HỘ CÁC KIẾN NGHỊ NÀY, Cũng lên tiếng ủng hộ các ký nghị này,"cũng lên tiếng ủng hộ các kiến nghị này.
"
DI TÍCH CÓ BẢY PHỖNG ÔNG VÀ HAI PHỖNG BÀ ĐƯỢC LÀM BẰNG GỖ MÍT, Di tích có 7 phỏng ong và 2 phỏng bà được làm bằng gỗ mít,"Di tích có bảy phỏng ông và hai phỏng bà được làm bằng gỗ mít.
"
NÓ TRỐN MẤT TIÊU RỒI CÒN ĐÂU, Nó trốn mất tiêu rồi còn đâu,"Nói trốn mất tiêu rồi, còn đâu? Hử."
TRƯỞNG CÔNG AN XÃ CHẠY SANG CAN NGĂN CŨNG BỊ TUYẾN ĐÁNH TIẾP, Trưởng công an xã chạy sang can ngăn cũng bị tuyến đánh tiếp.,Trưởng công an xã chạy sang can ngăn cũng bị tuyến đánh tiếp.
CÁC CHÚ CŨNG THOẢI MÁI PHÓNG UẾ GIỮA CHỐN ĐÔNG NGƯỜI MÀ KHÔNG SỢ, Các chú cũng hỏi mái phóng ế giữa trốn đông người mà không sợ,Các chú cũng thoải mái phóng uế giữa chốn đông người mà không sợ.
CHẮC SẮP TỚI THU XẾP ĐI DU LỊCH THÔI, Chắc sắp tới Hueship đi du lịch thôi,Chắc sắp tới Huỳnh đi du lịch Hàn.
NHƯNG GIẤC NGỦ CHẬP CHỜN, Nhưng giấc ngủ chập trờn,"Nhưng giấc ngủ chập chờn,"
NHỮNG DỰ ĐỊNH CẦN PHẢI ĐƯỢC BIẾN THÀNH HIỆN THỰC, Những dự định cần phải được biến hành hiện thực.,Những dự định cần phải được biến thành hiện thực.
ĐÈN BỊ HƯ RỒI BA, Đèn bị hư gò 3.,đèn bị hư rồi ba.
TIẾNG CỌC CẠCH KHỰNG LẠI CỦA NHỮNG KHỚP SẮT, Tiếng cọc cạch khận lại có những góp sắt,Tiếng cọc cạch khựng lại của những khớp sắt.
MỘT BÀ NGOẠI GIẶT ĐỒ THUÊ, Một bà ngoại giặt đồ hơi,"một bà ngoại giặt đồ thôi.
"
TỈNH QUẢNG TRỊ ĐÃ PHÊ DUYỆT, Tỉnh Quảng Trị đã phê duyệt.,Tỉnh quản trị đã phê duyệt các
BÀN CHỔI SƠN BẰNG BÔNG MỀM RẤT PHỔ BIẾN, Bàn chổi sơn bằng bông mềm gức phổ biến,"Bàn chổi sơn bằng bông mềm rất phổ biến.
"
ĐÔI BÀN TAY EM KHÔNG ĐƯỢC MỀM MẠI VÀ NÕN NÀ, Đôi bàn tay em không được mềm mại và nõn nà,Đôi bàn tay em không được mềm mại và nõn nà.
NHƯNG KHI TIẾN GẦN VÀO VỊNH THÌ MẶT BIỂN BỊ RẠN VỠ, Nhưng khi tiến gần vào vĩnh thì mặt biển bị gạn vỡ,Nhưng khi tiếng gần vào vịnh thì mặt biển bị gạn vỡ.
TÂY GIANG VẪN CÒN KHẮC KHOẢI KHÔNG THỂ VÀO XÃ A NÔNG, Tây Giang vẫn còn khắp khỏi không hỡi vào xã A Nông,Tây Giang vẫn còn khắc khỏi không hễ vào xã A Nông.
VIỆC MỘT QUYỂN TIỂU THUYẾT NHƯ THẾ, Việc một quyển tiểu huyết như thế,"Việc một quyển tiểu thuyết như thế,"
VIỆC QUY TỘI ĐỂ BÙNG NỔ LOẠI SÁCH NÀY LÀ DO, Việc quy tội để bùng nổ loại sách này là do...,việc quy tội để bùng nổ loại sách này là do?
NGƯỜI TA NÓI, Người ta nói,"Người ta nói,"
THẰNG ĐÓ CÓ CÁI MIỆNG NHƯ ĐÀN BÀ, Hàng đó có cái miệng như đàn bà,"thằng đó có cái miệng như đàn bà.
"
NHƯNG TÌNH YÊU VẪN NỒNG NÀN VÀ SAY ĐẮM NHƯ BUỔI BAN ĐẦU, Nhưng tình yêu vẫn nồng nàng và say đắm như buổi ban đầu,nhưng tình yêu vẫn nồng nàn và say đắm như buổi ban đầu.
CÔNG VĂN ĐỀ NGHỊ TỈNH CON TUM XÂY DỰNG CỬA KHẨU, Công văn đề nghị tính con tâm xây dựng cửa khẩu,Công văn đề nghị tỉnh Kon Tum xây dựng cửa khẩu.
HIỆN RA TẬN PHÍA XA, hiện ra tận phía xa.,"Hiện ra tận phía sau.
"
NGHE CHÚNG TÔI HỎI ĐIỀU NÀY CHỊ NGÁT RÂN RẤN NƯỚC MẮT," Nghe chúng tôi hỏi điều này, chị ngát gân gấn nước mắt.","Nghe chúng tôi hỏi điều này, chị nghẹn ngào nước mắt."
ĐỂ TÀU KHÔNG PHẢI CƯỠI CẦU TÀU, Để tàu không phải cử cầu tàu,"Để tàu không phải cưỡi cầu tàu.
"
ANH PHÚ CHƯA BÚ ĐƯỢC SỮA MẸ LẦN NÀO, Anh Phú chưa bú được sữa mẹ lần nào.,Anh Phú chưa bú được sữa mẹ lần nào.
DO CHÍNH PHỦ MỸ TIẾN HÀNH Ở VIỆT NAM, Do chính phủ Mỹ tiến hành ở Việt Nam,"do chính phủ Mỹ tiến hành ở Việt Nam.
"
