Reference,Whisper_Transcription,Gemini_Transcription,Reference_normalize,Whisper_Transcription_normalize,Gemini_Transcription_normalize,Whisper_Transcription_WER,Gemini_Transcription_WER
TUY NHIÊN TÔI NGHĨ CẬU TA XỨNG ĐÁNG VỚI CHỨC VÔ ĐỊCH, Tuy nhiên tôi nghĩ cậu ta xứng đáng với chức vô địch,"Tuy nhiên, tôi nghĩ cậu ta xứng đáng với chức vô địch.
",tuy nhiên tôi nghĩ cậu ta xứng đáng với chức vô địch,tuy nhiên tôi nghĩ cậu ta xứng đáng với chức vô địch,tuy nhiên tôi nghĩ cậu ta xứng đáng với chức vô địch,0,0
GIỎI GÌ BÁC MÌNH ĐẺ RA KHÔNG NUÔI THÌ AI NUÔI, Giỏi thì bác mình để ra không nuôi thì ai nuôi,"Giỏi thì bác mình để ra, không nuôi thì ai nuôi?",giỏi gì bác mình đẻ ra không nuôi thì ai nuôi,giỏi thì bác mình để ra không nuôi thì ai nuôi,giỏi thì bác mình để ra không nuôi thì ai nuôi?,0.1818,0.2727
ĐỂ NHỮNG KHÓ KHĂN VÀ MÂU THUẪN DẦN DẦN SẼ BỊ ĐẨY LUI, Để những khó khăn và mâu thuẫn dần dần sẽ bị đẩy lui,"Để những khó khăn và mâu thuẫn dần dần sẽ bị đẩy lui.
",để những khó khăn và mâu thuẫn dần dần sẽ bị đẩy lui,để những khó khăn và mâu thuẫn dần dần sẽ bị đẩy lui,để những khó khăn và mâu thuẫn dần dần sẽ bị đẩy lui,0,0
TÍCH CỰC HƠN VỚI VẤN ĐỀ LIÊN QUAN ĐẾN KIỀU BÀO, Tích cực hơn với vấn đề liên quan đến kiều bào,"Tích cực hơn với vấn đề liên quan đến kiều bào.
",tích cực hơn với vấn đề liên quan đến kiều bào,tích cực hơn với vấn đề liên quan đến kiều bào,tích cực hơn với vấn đề liên quan đến kiều bào,0,0
THÔNG THƯỜNG ÁN KỶ LUẬT NẾU CÓ THƯỜNG BAN HÀNH VÀO CUỐI TUẦN, Thông thường án kỷ luật nếu có thường ban hành vào cuối tuần,"Thông thường, án kỷ luật nếu có thường ban hành vào cuối tuần.",thông thường án kỷ luật nếu có thường ban hành vào cuối tuần,thông thường án kỷ luật nếu có thường ban hành vào cuối tuần,thông thường án kỷ luật nếu có thường ban hành vào cuối tuần,0,0
MONG ANH HÃY HIỂU CHO EM EM THƯƠNG NHỚ VÀ YÊU ANH NHIỀU," Mong anh hãy hiểu cho em, em thương nhớ và yêu anh nhiều","Mong anh hãy hiểu cho em, em thương nhớ và yêu anh nhiều.
",mong anh hãy hiểu cho em em thương nhớ và yêu anh nhiều,mong anh hãy hiểu cho em em thương nhớ và yêu anh nhiều,mong anh hãy hiểu cho em em thương nhớ và yêu anh nhiều,0,0
EM CÓ SUY NGHĨ THÊM VỀ VIỆC THAM DỰ HỘI CHỢ KHOA HỌC KHÔNG, Em có suy nghĩ thêm về việc tham dự hội trợ khoa học không?,"Em có suy nghĩ thêm về việc tham dự hội chợ khoa học không?
",em có suy nghĩ thêm về việc tham dự hội chợ khoa học không,em có suy nghĩ thêm về việc tham dự hội trợ khoa học không?,em có suy nghĩ thêm về việc tham dự hội chợ khoa học không?,0.1429,0.0714
CÁC QUI ĐỊNH CỦA PHÁP LUẬT KHÔNG THỂ ĐƯỢC BAN HÀNH THEO KIỂU ĐÁNH LÉN, Các quy định của pháp luật không thể được ban hành theo kiểu đánh lén.,Các quy định của pháp luật không thể được ban hành theo kiểu đánh lén.,các qui định của pháp luật không thể được ban hành theo kiểu đánh lén,các quy định của pháp luật không thể được ban hành theo kiểu đánh lén,các quy định của pháp luật không thể được ban hành theo kiểu đánh lén,0.0667,0.0667
TỪ ĐẤY ÔNG CÀNG THÔNG CẢM SÂU SẮC TÂM TRẠNG CỦA NGUYỄN THIẾP," Từ đấy, ông càng thông cảm sâu sắc tâm trạng của Nguyễn Thiếp.",Từ đấy ông càng thông cảm sâu sắc tâm trạng của Nguyễn Thiếp.,từ đấy ông càng thông cảm sâu sắc tâm trạng của nguyễn thiếp,từ đấy ông càng thông cảm sâu sắc tâm trạng của nguyễn thiếp,từ đấy ông càng thông cảm sâu sắc tâm trạng của nguyễn thiếp,0,0
NHƯNG RỒI CÁI TÌNH VỚI BÀ CON CỨ NẮM NÍU KHÔNG DỨT RA ĐƯỢC, Nhưng rồi cái tình với bà con cứ nắm níu không dứt ra được,"Nhưng rồi, cái tình với bà con cứ nắm níu không dứt ra được.
",nhưng rồi cái tình với bà con cứ nắm níu không dứt ra được,nhưng rồi cái tình với bà con cứ nắm níu không dứt ra được,nhưng rồi cái tình với bà con cứ nắm níu không dứt ra được,0,0
NHỮNG NGƯỜI TRẺ ẤY THẬT ĐÁNG PHÊ PHÁN ĐÁNG LÊN ÁN," Những người trẻ ấy thật đáng phê, phán, đáng lên án","Những người trẻ ấy thật đáng phê phán, đáng lên án.",những người trẻ ấy thật đáng phê phán đáng lên án,những người trẻ ấy thật đáng phê phán đáng lên án,những người trẻ ấy thật đáng phê phán đáng lên án,0,0
SỐ ĐƠN VỊ THAM GIA HỘI CHỢ VIỆC LÀM TĂNG ĐÁNG KỂ QUA CÁC NĂM, Số đơn vị tham gia hội trợ việc làm tăng đáng kể qua các năm,Số đồng vị tham gia hội chợ việc làm tăng đáng kể qua các năm.,số đơn vị tham gia hội chợ việc làm tăng đáng kể qua các năm,số đơn vị tham gia hội trợ việc làm tăng đáng kể qua các năm,số đồng vị tham gia hội chợ việc làm tăng đáng kể qua các năm,0.0667,0.0667
VỀ NGUYÊN TẮC VÀO HỌC LÀ SINH VIÊN PHẢI ĐÓNG HỌC PHÍ, Về nguyên tác vào học là sinh viên phải đóng học phí,Về nguyên tắc vào học là sinh viên phải đóng học phí.,về nguyên tắc vào học là sinh viên phải đóng học phí,về nguyên tác vào học là sinh viên phải đóng học phí,về nguyên tắc vào học là sinh viên phải đóng học phí,0.0833,0
ANH BỊ ĐẨY TỪ HÀ NỘI VÀO SÀI GÒN, Ăn bị đẩy từ Hà Nội và Sài Gòn.,"ăn bị đẩy từ Hà Nội và Sài Gòn.
",anh bị đẩy từ hà nội vào sài gòn,ăn bị đẩy từ hà nội và sài gòn,ăn bị đẩy từ hà nội và sài gòn,0.2222,0.2222
MUỐN ĐẸP PHẢI GHÈ LÀM SAO CHO CÁC BÓ CƠ CHÂN NỔI BẬT LÊN, Muốn đẹp phải ghè làm sao cho các bó cơ chân nổi bật lên.,"Muốn đẹp phải gầy, làm sao cho các bó cơ chân nổi bật lên?",muốn đẹp phải ghè làm sao cho các bó cơ chân nổi bật lên,muốn đẹp phải ghè làm sao cho các bó cơ chân nổi bật lên,muốn đẹp phải gầy làm sao cho các bó cơ chân nổi bật lên?,0,0.1429
THAY VÌ BỐN GIỜ NHƯ TRƯỚC ĐÂY, Thay vì 4 giờ như trước đây,"Thay vì 4 giờ như trước đây,",thay vì bốn giờ như trước đây,thay vì bốn giờ như trước đây,thay vì bốn giờ như trước đây,0,0
ĐỂ RỒI CHÚNG TA KHAO KHÁT MÃI TRONG VÒNG LUÂN HỒI NHÂN GIAN, Để rồi chúng ta khao khát mãi trong vòng luân hồi nhân gian,"Để rồi chúng ta khao khát mãi trong vòng luân hồi nhân gian.
",để rồi chúng ta khao khát mãi trong vòng luân hồi nhân gian,để rồi chúng ta khao khát mãi trong vòng luân hồi nhân gian,để rồi chúng ta khao khát mãi trong vòng luân hồi nhân gian,0,0
ÔNG CHỦ TỊCH TUYÊN BỐ NHƯ THẾ NÀO, Ông chủ tịch điên bố như thế nào?,Ông chủ tịch tuyên bố như thế nào?,ông chủ tịch tuyên bố như thế nào,ông chủ tịch điên bố như thế nào?,ông chủ tịch tuyên bố như thế nào?,0.25,0.125
CŨNG KHIẾN CHO HỌ DÈ DẶT, Cũng khiến cho họ dè dặt,cũng khiến cho họ dè dặt.,cũng khiến cho họ dè dặt,cũng khiến cho họ dè dặt,cũng khiến cho họ dè dặt,0,0
VÀ KHI CHÚNG TA SAO NHÃNG CÔNG VIỆC CỦA MÌNH, Và khi chúng ta xa nhãn công việc của mình,"Và khi chúng ta sao nhãng công việc của mình.
",và khi chúng ta sao nhãng công việc của mình,và khi chúng ta xa nhãn công việc của mình,và khi chúng ta sao nhãng công việc của mình,0.2,0
BÀ QUẢNG VẪN ĐANG BẬN RỘN, Bà Quảng vẫn đang bận rộn.,"Ba quản vẫn đang bận rộn.
",bà quảng vẫn đang bận rộn,bà quảng vẫn đang bận rộn,ba quản vẫn đang bận rộn,0,0.3333
HỢP VỚI HƯƠNG VỊ ĐẦU XUÂN, Hợp với hương vị đào sân,"Hạ với hương vị đầu xuân.
",hợp với hương vị đầu xuân,hợp với hương vị đào sân,hạ với hương vị đầu xuân,0.3333,0.1667
Y TẾ BÌNH HƯNG HÒA BỊ HƯ HỎNG, Y tế bình hương hòa bị hư hỏng,"Y tế Bình Hưng Hòa bị hư hỏng.
",y tế bình hưng hòa bị hư hỏng,y tế bình hương hòa bị hư hỏng,y tế bình hưng hòa bị hư hỏng,0.125,0
ĐIỆN THOẠI RENG NHƯNG TA CŨNG PHẢI NHẤC MÁY ĐÚNG KHÔNG, Tiện thể lên nhân ta cũng phải nhấc máy đúng không?,Đến thải ren nhân ta cũng phải nhấc máy đúng không?,điện thoại reng nhưng ta cũng phải nhấc máy đúng không,tiện thể lên nhân ta cũng phải nhấc máy đúng không?,đến thải ren nhân ta cũng phải nhấc máy đúng không?,0.4545,0.4545
RỒI CHẠY SANG GÕ CỬA PHÒNG BA LE HAI DẤM DÚI, Rồi chạy sang gõ cửa phòng 3 len 2 giấm dúi,"Rồi, chạy sang gõ cửa phòng Ba Len hai chấm duối.
",rồi chạy sang gõ cửa phòng ba le hai dấm dúi,rồi chạy sang gõ cửa phòng ba len hai giấm dúi,rồi chạy sang gõ cửa phòng ba len hai chấm duối,0.1818,0.2727
THÁNG TRƯỚC CHỒNG VỀ MẤY NGÀY MÌNH NẰM NGỦ THẤY ẤM KINH KHỦNG, Tháng trước trọn về mấy ngày mình nằm ngủ thấy ấm kiên khủng.,tháng trước trời về mấy ngày mình nằm ngủ thấy ấm kinh khủng.,tháng trước chồng về mấy ngày mình nằm ngủ thấy ấm kinh khủng,tháng trước trọn về mấy ngày mình nằm ngủ thấy ấm kiên khủng,tháng trước trời về mấy ngày mình nằm ngủ thấy ấm kinh khủng,0.1538,0.0769
ỦY BAN CHÂU ÂU KÊU GỌI NHỮNG QUỐC GIA PHÁT TRIỂN CÒN LẠI, Ủy ban châu Âu kêu gọi những quốc gia phát triển còn lại.,Ủy ban châu Âu kêu gọi những quốc gia phát triển còn lại.,ủy ban châu âu kêu gọi những quốc gia phát triển còn lại,ủy ban châu âu kêu gọi những quốc gia phát triển còn lại,ủy ban châu âu kêu gọi những quốc gia phát triển còn lại,0,0
CÁC CHƯƠNG TRÌNH CA NHẠC PHẦN LỚN ĐỀU KHÔNG ĐỘT PHÁ, Các chương trình ca nhạc phần lớn đều không đột phá,Các chương trình ca nhạc phần lớn đều không đột phá.,các chương trình ca nhạc phần lớn đều không đột phá,các chương trình ca nhạc phần lớn đều không đột phá,các chương trình ca nhạc phần lớn đều không đột phá,0,0
CHÚNG CỨ CỐ LÙI LẠI MẶC DÙ VƯỚNG VÍU GÔNG XIỀNG, Chúng cứ có lội lại mặc dù bướng phiếu gong chiền,chúng cứ cố lùi lại mặc dù vướng víu gông xiềng.,chúng cứ cố lùi lại mặc dù vướng víu gông xiềng,chúng cứ có lội lại mặc dù bướng phiếu gong chiền,chúng cứ cố lùi lại mặc dù vướng víu gông xiềng,0.5455,0
KHIẾN HAI CHA CON CẬU, Khiến hai cha con cậu,"khiến hai cha con cậu.
",khiến hai cha con cậu,khiến hai cha con cậu,khiến hai cha con cậu,0,0
CHỊ GẶN HỎI ANH THỀ SỐNG THỀ CHẾT LÀ KHÔNG CÓ, Chị gặn hỏi anh thề sống thề chết là không có.,"Chị gặn hỏi anh thề sống thề chết là không có.
",chị gặn hỏi anh thề sống thề chết là không có,chị gặn hỏi anh thề sống thề chết là không có,chị gặn hỏi anh thề sống thề chết là không có,0,0
ĐỂ TRẢ TRỞ LẠI ĐẠI DƯƠNG, để trả trở lại tại dương,để trả trở lại đại dương.,để trả trở lại đại dương,để trả trở lại tại dương,để trả trở lại đại dương,0.1667,0
TIẾNG MÃ TẤU SẮC LẠNH CHẠM NHAU VÀ CẢ TIẾNG RÊN RỈ, Tiếng mã đấu sách lặn chạm nhau và cả tiếng lên rỉ.,tiếng mõ đối sắc lẫn chạm nhau và cả tiếng rên rỉ.,tiếng mã tấu sắc lạnh chạm nhau và cả tiếng rên rỉ,tiếng mã đấu sách lặn chạm nhau và cả tiếng lên rỉ,tiếng mõ đối sắc lẫn chạm nhau và cả tiếng rên rỉ,0.3333,0.25
MÀY DÁM CHƠI VỢ TAO TAO PHẢI GIẾT MÀY," Mày dám chơi vợ tao, tao sẽ giết mày","Mày dám chơi vợ tao, tao sẽ giết mày.
",mày dám chơi vợ tao tao phải giết mày,mày dám chơi vợ tao tao sẽ giết mày,mày dám chơi vợ tao tao sẽ giết mày,0.1111,0.1111
HÔM NAY EM CÓ TỚI NĂM KHÁCH, Hôm nay em có tới năm khác,Hôm nay em có tới năm khách.,hôm nay em có tới năm khách,hôm nay em có tới năm khác,hôm nay em có tới năm khách,0.1429,0
HẦU HẾT NANG NÀY CÓ NGUỒN GỐC TỪ GÂN CƠ CHÂN NGỖNG, Hầu hết cha này có nguồn gốc từ gân cơ chân ngỗng.,Hầu hết chan này có nguồn gốc từ gân cơ chân ngỗng.,hầu hết nang này có nguồn gốc từ gân cơ chân ngỗng,hầu hết cha này có nguồn gốc từ gân cơ chân ngỗng,hầu hết chan này có nguồn gốc từ gân cơ chân ngỗng,0.0833,0.0833
TỐNG CỔ HẮN ĐI KHÔNG ĐƯỢC ĐỂ HẮN VÀO ĐÂY NỮA, Đông cổ hắn đi không được để hắn vào đây nữa.,"Đóng cổ, hắn đi không được để hắn vào đây nữa.
",tống cổ hắn đi không được để hắn vào đây nữa,đông cổ hắn đi không được để hắn vào đây nữa,đóng cổ hắn đi không được để hắn vào đây nữa,0.0909,0.0909
CHO EM GÓP MỘT VIÊN GẠCH, Cho em góp 1 viên gạt,Cho em góp một viên gạch.,cho em góp một viên gạch,cho em góp một viên gạt,cho em góp một viên gạch,0.1667,0
ĐI KIỂM TRA LẠI BÁC SĨ KHUYÊN NÊN MỔ NỘI SOI," Đi kiểm tra lại, bác sĩ khuyên nêm mổ nổi sôi.",Đi kiểm tra lại bác sĩ khuyên nên mổ nội soi.,đi kiểm tra lại bác sĩ khuyên nên mổ nội soi,đi kiểm tra lại bác sĩ khuyên nêm mổ nổi sôi,đi kiểm tra lại bác sĩ khuyên nên mổ nội soi,0.2727,0
CÓ THỂ LÀNH LẶN MÀ KHÔNG ĐỂ LẠI VẾT SẸO, có thể là lạc mà không để lại vết xẹo.,Có thể lành lặng mà không để lại vết sẹo.,có thể lành lặn mà không để lại vết sẹo,có thể là lạc mà không để lại vết xẹo,có thể lành lặng mà không để lại vết sẹo,0.3,0.1
NÀNG CÓ ĐÔI MẮT TO SÂU VÀ VẦNG TRÁN RỘNG MÊNH MÔNG, Nàng có đôi mắt to sâu và bình chán rộng minh mông.,"Nè có tới mắt to sâu và bình chán rộng mênh mông.
",nàng có đôi mắt to sâu và vầng trán rộng mênh mông,nàng có đôi mắt to sâu và bình chán rộng minh mông,nè có tới mắt to sâu và bình chán rộng mênh mông,0.25,0.3333
LÀM ĐẸP KHÔNG ĐÚNG CÁCH, Làm đẹp không túng các,làm đẹp không tốn kém.,làm đẹp không đúng cách,làm đẹp không túng các,làm đẹp không tốn kém,0.4,0.4
CŨNG THUỘC LOẠI DÀY ĐẶC NHẤT TRONG HỆ MẶT TRỜI, Cũng thuộc loại giày đặc nhất trong hệ mặt trời,Cũng thuộc lại dày đặc nhất trong hệ mặt trời.,cũng thuộc loại dày đặc nhất trong hệ mặt trời,cũng thuộc loại giày đặc nhất trong hệ mặt trời,cũng thuộc lại dày đặc nhất trong hệ mặt trời,0.1,0.1
TÔI TỰ HỎI PHẢI CHĂNG ĐÓ LÀ DO DAN CÒN QUÁ TRẺ, Tôi tự hỏi phải tranh đó là do Giang còn quá trẻ,Tôi tự hỏi phải chăng đó là do Giang còn quá trẻ.,tôi tự hỏi phải chăng đó là do dan còn quá trẻ,tôi tự hỏi phải tranh đó là do giang còn quá trẻ,tôi tự hỏi phải chăng đó là do giang còn quá trẻ,0.1667,0.0833
MỖI KHI XE RÁC ĐI NGANG QUA ĐÁNH KẺNG MỚI ĐEM RA ĐỔ, Mỗi khi xe lát đi ngang qua tắn kẹt mới đem ra độ,Mỗi khi xe rác đi ngang qua tắng kẽn mới đem ra đổ.,mỗi khi xe rác đi ngang qua đánh kẻng mới đem ra đổ,mỗi khi xe lát đi ngang qua tắn kẹt mới đem ra độ,mỗi khi xe rác đi ngang qua tắng kẽn mới đem ra đổ,0.3077,0.1538
TẤT CẢ MỌI THỨ ĐỀU KỲ LẠ MỘT CÁCH PHI THƯỜNG, Tất cả mọi thứ đều kỳ lạ một cách phi thường.,Tất cả mọi thứ đều kỳ lạ một cách phi thường.,tất cả mọi thứ đều kỳ lạ một cách phi thường,tất cả mọi thứ đều kỳ lạ một cách phi thường,tất cả mọi thứ đều kỳ lạ một cách phi thường,0,0
HẮN CHƠI VỢ ANH THÌ SAO ANH KHÔNG CHƠI VỢ HẮN, Hắn chơi vợ anh thì sao ăn không chơi vợ ăn?,"Hắn chơi vợ anh, thì sao anh không chơi vợ hắn?
",hắn chơi vợ anh thì sao anh không chơi vợ hắn,hắn chơi vợ anh thì sao ăn không chơi vợ ăn?,hắn chơi vợ anh thì sao anh không chơi vợ hắn?,0.1818,0.0909
BỌN BUÔN DỰ ÁN CHẠY CHỌT BÀY RA CÁC DỰ ÁN ĐỂ KIẾM CHÁC, Bọn mua dự án chạy trọt bày ra các dự án để kiếm chép,"bỏ buông dự án chỉ chọt bày ra các dự án để kiếm chác.
",bọn buôn dự án chạy chọt bày ra các dự án để kiếm chác,bọn mua dự án chạy trọt bày ra các dự án để kiếm chép,bỏ buông dự án chỉ chọt bày ra các dự án để kiếm chác,0.2143,0.2143
